央视频道,#genre#
CCTV1,http://113.86.205.90:808/hls/1/index.m3u8
CCTV1,http://113.86.205.68:808/hls/1/index.m3u8
CCTV1,http://120.224.7.90:809/hls/200/index.m3u8
CCTV1,http://1.80.12.8:10000/hls/1/index.m3u8
CCTV2,http://113.86.205.90:808/hls/2/index.m3u8
CCTV2,http://113.86.205.68:808/hls/2/index.m3u8
CCTV2,http://120.224.7.90:809/hls/217/index.m3u8
CCTV2,http://1.80.12.8:10000/hls/2/index.m3u8
CCTV3,http://113.86.205.90:808/hls/3/index.m3u8
CCTV3,http://113.86.205.68:808/hls/3/index.m3u8
CCTV3,http://1.80.12.8:10000/hls/3/index.m3u8
CCTV4,http://120.224.7.90:809/hls/216/index.m3u8
CCTV4,http://1.80.12.8:10000/hls/4/index.m3u8
CCTV4,http://113.86.205.90:808/hls/4/index.m3u8
CCTV4,http://113.86.205.68:808/hls/4/index.m3u8
CCTV5,http://113.86.205.90:808/hls/5/index.m3u8
CCTV5,http://113.86.205.68:808/hls/5/index.m3u8
CCTV5,http://120.224.7.90:809/hls/202/index.m3u8
CCTV5,http://1.80.12.8:10000/hls/5/index.m3u8
CCTV5+,http://113.86.205.90:808/hls/6/index.m3u8
CCTV5+,http://113.86.205.68:808/hls/6/index.m3u8
CCTV6,http://113.86.205.90:808/hls/7/index.m3u8
CCTV6,http://113.86.205.68:808/hls/7/index.m3u8
CCTV6,http://120.224.7.90:809/hls/203/index.m3u8
CCTV6,http://1.80.12.8:10000/hls/6/index.m3u8
CCTV7,http://120.224.7.90:809/hls/215/index.m3u8
CCTV7,http://1.80.12.8:10000/hls/7/index.m3u8
CCTV8,http://113.86.205.90:808/hls/9/index.m3u8
CCTV8,http://113.86.205.68:808/hls/9/index.m3u8
CCTV8,http://120.224.7.90:809/hls/204/index.m3u8
CCTV8,http://1.80.12.8:10000/hls/8/index.m3u8
CCTV9,http://113.86.205.68:808/hls/10/index.m3u8
CCTV9,http://113.86.205.90:808/hls/10/index.m3u8
CCTV9,http://1.80.12.8:10000/hls/9/index.m3u8
CCTV10,http://113.86.205.90:808/hls/11/index.m3u8
CCTV10,http://113.86.205.68:808/hls/11/index.m3u8
CCTV10,http://120.224.7.90:809/hls/213/index.m3u8
CCTV10,http://1.80.12.8:10000/hls/10/index.m3u8
CCTV11,http://113.86.205.90:808/hls/12/index.m3u8
CCTV11,http://113.86.205.68:808/hls/12/index.m3u8
CCTV11,http://120.224.7.90:809/hls/205/index.m3u8
CCTV11,http://1.80.12.8:10000/hls/11/index.m3u8
CCTV12,http://120.224.7.90:809/hls/212/index.m3u8
CCTV12,http://1.80.12.8:10000/hls/12/index.m3u8
CCTV13,http://120.224.7.90:809/hls/206/index.m3u8
CCTV13,http://1.80.12.8:10000/hls/13/index.m3u8
CCTV14,http://120.224.7.90:809/hls/211/index.m3u8
CCTV14,http://1.80.12.8:10000/hls/14/index.m3u8
CCTV15,http://120.224.7.90:809/hls/207/index.m3u8
CCTV15,http://1.80.12.8:10000/hls/15/index.m3u8
卫视频道,#genre#
上海卫视,http://120.224.7.90:809/hls/219/index.m3u8
东南卫视,http://120.224.7.90:809/hls/220/index.m3u8
东南卫视,http://1.80.12.8:10000/hls/28/index.m3u8
云南卫视,http://120.224.7.90:809/hls/247/index.m3u8
内蒙古卫视,http://120.224.7.90:809/hls/232/index.m3u8
内蒙古卫视,http://1.80.12.8:10000/hls/21/index.m3u8
北京卫视,http://120.224.7.90:809/hls/218/index.m3u8
北京卫视,http://1.80.12.8:10000/hls/17/index.m3u8
吉林卫视,http://120.224.7.90:809/hls/228/index.m3u8
吉林卫视,http://1.80.12.8:10000/hls/31/index.m3u8
四川卫视,http://120.224.7.90:809/hls/243/index.m3u8
天津卫视,http://1.80.12.8:10000/hls/26/index.m3u8
宁夏卫视,http://120.224.7.90:809/hls/233/index.m3u8
安徽卫视,http://120.224.7.90:809/hls/253/index.m3u8
山东卫视,http://120.224.7.90:809/hls/208/index.m3u8
山东卫视,http://1.80.12.8:10000/hls/27/index.m3u8
山西卫视,http://120.224.7.90:809/hls/240/index.m3u8
山西卫视,http://1.80.12.8:10000/hls/32/index.m3u8
广东卫视,http://120.224.7.90:809/hls/222/index.m3u8
广东卫视,http://1.80.12.8:10000/hls/25/index.m3u8
广西卫视,http://120.224.7.90:809/hls/223/index.m3u8
江苏卫视,http://120.224.7.90:809/hls/229/index.m3u8
江苏卫视,http://1.80.12.8:10000/hls/23/index.m3u8
江西卫视,http://120.224.7.90:809/hls/230/index.m3u8
江西卫视,http://1.80.12.8:10000/hls/30/index.m3u8
河北卫视,http://120.224.7.90:809/hls/254/index.m3u8
河北卫视,http://1.80.12.8:10000/hls/36/index.m3u8
河南卫视,http://120.224.7.90:809/hls/226/index.m3u8
河南卫视,http://1.80.12.8:10000/hls/29/index.m3u8
浙江卫视,http://1.80.12.8:10000/hls/24/index.m3u8
浙江卫视,http://120.224.7.90:809/hls/248/index.m3u8
海南卫视,http://120.224.7.90:809/hls/225/index.m3u8
深圳卫视,http://120.224.7.90:809/hls/242/index.m3u8
湖南卫视,http://120.224.7.90:809/hls/252/index.m3u8
湖南卫视,http://1.80.12.8:10000/hls/22/index.m3u8
甘肃卫视,http://120.224.7.90:809/hls/221/index.m3u8
西藏卫视,http://1.80.12.8:10000/hls/35/index.m3u8
西藏卫视,http://120.224.7.90:809/hls/244/index.m3u8
贵州卫视,http://120.224.7.90:809/hls/224/index.m3u8
重庆卫视,http://120.224.7.90:809/hls/249/index.m3u8
重庆卫视,http://1.80.12.8:10000/hls/19/index.m3u8
陕西卫视,http://120.224.7.90:809/hls/241/index.m3u8
青海卫视,http://120.224.7.90:809/hls/234/index.m3u8
黑龙江卫视,http://120.224.7.90:809/hls/227/index.m3u8
省市频道,#genre#
湖北,http://120.224.7.90:809/hls/237/index.m3u8
港澳频道,#genre#
少儿频道,#genre#
其他频道,#genre#
优漫卡视,http://120.224.7.90:809/hls/246/index.m3u8
天津,http://120.224.7.90:809/hls/236/index.m3u8
山东体育,http://120.224.7.90:809/hls/239/index.m3u8
山东公共,http://120.224.7.90:809/hls/235/index.m3u8
济南新闻,http://120.224.7.90:809/hls/210/index.m3u8
炫动卡视,http://120.224.7.90:809/hls/245/index.m3u8
辽宁,http://120.224.7.90:809/hls/238/index.m3u8
金鹰卡视,http://120.224.7.90:809/hls/231/index.m3u8
齐鲁,http://120.224.7.90:809/hls/209/index.m3u8
